sex,padreSector,fechaNacimiento,edadDejaEstudio,muere,naceFueraMatri,madreEdad
female,Agricultura,1870-11-05,15,0,no,45.78
female,Agricultura,1860-11-03,15,0,no,19.871
male,Agricultura,1881-04-26,15,0,no,31.168
female,Agricultura,1873-03-29,15,0,no,44.747
female,NoFijo,1859-04-18,0.175,1,no,35.513
female,Agricultura,1870-02-14,15,0,no,39.368
female,NoFijo,1880-07-17,15,0,no,27.8
male,Agricultura,1884-11-01,0.884,0,no,24.304
female,NoFijo,1853-05-10,15,0,no,31.337
female,NoFijo,1862-07-23,15,0,no,27.439
male,Agricultura,1854-12-16,15,0,no,31.633
male,Agricultura,1882-03-30,15,0,no,20.389
female,SectorPrivado,1876-06-15,15,0,no,30.023
male,Agricultura,1880-09-26,15,0,no,32.674
female,Agricultura,1857-04-21,15,0,no,19.789
male,Agricultura,1850-07-05,15,0,no,40.665
male,Agricultura,1879-04-02,15,0,no,35.337
female,Agricultura,1871-04-18,15,0,no,42.281
female,Agricultura,1876-06-14,15,0,no,22.363
male,Agricultura,1870-03-13,4.014,1,no,30.237
male,Agricultura,1865-03-10,15,0,no,37.435
male,Agricultura,1877-05-23,15,0,no,25.728
male,SectorPublico,1871-06-25,15,0,no,40.498
female,NoFijo,1873-12-17,15,0,no,32.479
male,Agricultura,1881-12-21,0.225,1,no,37.771
male,Agricultura,1853-09-19,15,0,no,40.104
female,Agricultura,1882-01-31,15,0,no,35.31
female,NoFijo,1865-01-30,0.416,1,yes,18.99
female,Agricultura,1857-02-25,15,0,no,35.116
male,Agricultura,1874-11-15,15,0,no,21.632
male,Agricultura,1882-08-08,15,0,no,21.446
female,NoFijo,1880-12-25,15,0,no,23.685
female,Agricultura,1876-03-16,15,0,no,27.379
female,Agricultura,1866-08-19,15,0,no,39.135
female,Agricultura,1877-06-16,0.569,1,no,30.913
female,Agricultura,1860-01-18,15,0,no,36.515
male,Agricultura,1883-03-16,15,0,no,24.531
female,NoFijo,1871-05-10,15,0,no,35.838
female,Agricultura,1850-07-10,15,0,no,22.798
female,Agricultura,1876-04-02,15,0,no,27.485
male,Agricultura,1876-04-02,15,0,no,30.042
male,Agricultura,1869-03-05,3.452,1,no,36.66
male,NoFijo,1867-10-17,0.783,1,yes,26.073
male,Agricultura,1856-10-22,1.749,1,no,40.55
male,NoFijo,1863-10-13,15,0,no,34.133
male,Agricultura,1881-12-06,15,0,no,37.823
female,NoFijo,1851-03-07,15,0,yes,27.682
male,NoFijo,1881-07-08,15,0,no,33.621
male,Agricultura,1879-07-31,15,0,no,44.345
male,Agricultura,1876-04-19,15,0,no,38.42
male,NoFijo,1861-12-22,1.522,1,no,45.314
male,Agricultura,1864-08-31,15,0,no,24.939
male,Agricultura,1863-01-06,15,0,no,35.242
female,Agricultura,1859-07-13,15,0,no,45.125
female,Agricultura,1880-10-02,15,0,no,32.052
male,Agricultura,1883-10-22,5.591,0,no,24.947
male,Agricultura,1861-09-16,15,0,no,46.508
female,Agricultura,1883-05-30,15,0,no,38.543
male,Agricultura,1856-01-15,15,0,no,27.723
male,NoFijo,1854-01-11,15,0,no,45.432
female,Agricultura,1875-08-01,7.904,0,no,24.422
male,Agricultura,1878-09-20,15,0,no,24.895
female,Agricultura,1874-08-05,15,0,no,26.229
female,Agricultura,1882-11-05,0.038,1,yes,19.663
female,Agricultura,1869-09-22,15,0,no,32.118
male,NoFijo,1864-08-01,15,0,no,34.7
male,NoFijo,1860-08-03,5.528,1,no,30.604
male,Agricultura,1877-06-01,15,0,no,41.446
female,Agricultura,1870-01-26,4.413,1,no,25.886
male,Agricultura,1866-09-30,15,0,no,29.487
female,Agricultura,1869-07-12,15,0,yes,27.031
male,Agricultura,1856-04-05,15,0,no,25.626
female,Agricultura,1866-04-28,15,0,no,44.427
male,Agricultura,1867-06-29,15,0,yes,38.653
female,Agricultura,1867-08-23,15,0,no,23.414
male,Agricultura,1851-01-10,15,0,no,20.682
male,Agricultura,1871-08-22,15,0,no,33.005
male,Agricultura,1861-01-01,15,0,no,27.904
male,NoFijo,1850-12-18,15,0,no,21.966
male,Agricultura,1880-01-10,15,0,no,36.747
male,Agricultura,1879-11-11,15,0,no,34.127
male,Agricultura,1859-05-23,15,0,yes,28.66
female,Agricultura,1869-11-09,3.154,1,no,26.894
female,Agricultura,1876-01-29,15,0,no,28.14
male,NoFijo,1854-09-15,2.062,1,no,31.863
female,Agricultura,1878-11-02,15,0,no,36.339
female,Agricultura,1879-01-16,15,0,no,38.018
male,Agricultura,1856-10-26,15,0,no,33.161
female,Agricultura,1880-04-24,15,0,no,46.248
male,Agricultura,1878-06-09,15,0,no,30.554
female,Agricultura,1851-02-03,15,0,yes,28.717
female,Agricultura,1870-01-22,15,0,yes,25.079
female,Agricultura,1872-12-15,15,0,no,25.076
female,NoFijo,1870-02-03,15,0,no,34.245
male,NoFijo,1855-08-24,15,0,no,42.554
female,Agricultura,1881-08-09,12.068,1,no,33.821
female,Agricultura,1876-05-04,15,0,no,22.664
female,Agricultura,1867-02-12,15,0,no,41.426
female,NoFijo,1876-11-22,15,0,no,30.743
female,Agricultura,1862-04-02,15,0,no,25.511
male,NoFijo,1856-04-30,15,0,no,23.68
female,NoFijo,1875-04-09,1.248,1,no,31.107
female,Agricultura,1851-04-08,15,0,no,33.232
male,Agricultura,1871-03-26,1.306,1,no,32.786
female,SectorPublico,1855-12-19,4.033,0,no,44.26
female,Agricultura,1866-02-22,15,0,no,31.118
female,NoFijo,1868-12-24,15,0,yes,37.848
female,Agricultura,1872-11-27,15,0,no,29.626
female,NoFijo,1880-08-02,15,0,no,34.494
male,Agricultura,1881-09-10,15,0,no,30.519
male,SectorPublico,1867-12-26,8.09,1,no,39.491
male,Agricultura,1872-12-07,1.038,1,no,33.922
male,Agricultura,1872-12-28,7.335,0,yes,30.836
male,NoFijo,1873-12-17,15,0,no,37.996
female,Agricultura,1866-05-20,15,0,no,28.156
male,Agricultura,1883-05-03,15,0,no,28.446
male,NoFijo,1857-04-18,15,0,no,34.845
male,Agricultura,1879-02-11,15,0,no,31.515
female,SectorPrivado,1878-02-25,13.818,1,no,32.189
female,Agricultura,1883-04-07,15,0,no,24.939
male,Agricultura,1884-09-04,15,0,no,25.977
female,Agricultura,1876-01-01,15,0,no,20.75
female,Agricultura,1864-07-17,4.879,1,no,26.327
female,SectorPublico,1876-07-08,0.747,0,no,38.349
female,Agricultura,1878-08-20,15,0,no,37.185
female,Agricultura,1850-05-25,15,0,no,35.28
female,Agricultura,1880-06-20,11.039,1,no,36.695
female,Agricultura,1865-10-08,15,0,no,29.947
male,Agricultura,1855-04-22,15,0,no,22.839
female,Agricultura,1882-08-13,15,0,yes,24.304
male,NoFijo,1861-03-05,6.533,0,no,42.07
male,Agricultura,1877-09-13,15,0,no,34.177
female,Agricultura,1866-07-29,15,0,no,29.615
female,NoFijo,1879-01-25,15,0,no,21.96
male,NoFijo,1884-12-31,15,0,no,35.299
female,NoFijo,1883-04-12,15,0,no,32.698
female,Agricultura,1876-01-22,15,0,no,34.448
female,NoFijo,1880-05-27,15,0,no,26.587
male,Agricultura,1855-01-21,15,0,no,27.562
male,NoFijo,1867-07-05,0.307,1,no,40.454
male,NoFijo,1881-05-20,0.411,0,no,28.071
male,Agricultura,1878-12-20,2.149,1,no,33.101
male,NoFijo,1883-05-27,15,0,no,30.516
male,NoFijo,1861-10-04,15,0,no,41.492
male,Agricultura,1879-02-05,15,0,no,34.116
male,NoFijo,1863-10-02,15,0,yes,17.966
female,Agricultura,1859-09-30,15,0,no,35.603
male,Agricultura,1860-06-13,15,0,yes,27.6
female,Agricultura,1870-12-29,15,0,no,19.461
female,NoFijo,1857-08-25,15,0,no,31.343
female,NoFijo,1852-03-13,15,0,no,30.71
female,Agricultura,1871-06-24,15,0,no,23.964
male,Agricultura,1851-06-26,6.201,1,no,26.669
female,Agricultura,1867-01-24,15,0,no,28.611
male,NoFijo,1873-12-31,15,0,yes,19.392
male,NoFijo,1880-09-26,15,0,no,28.728
female,Agricultura,1876-09-02,15,0,no,31.882
female,NoFijo,1865-02-20,15,0,no,41.785
male,Agricultura,1877-10-06,15,0,no,38.708
female,NoFijo,1882-04-10,0.233,1,no,25.692
male,Agricultura,1872-07-24,15,0,no,34.946
female,Agricultura,1876-08-16,15,0,no,24.438
female,SectorPublico,1859-03-13,15,0,no,30.735
female,NoFijo,1853-04-21,15,0,no,37.407
female,Agricultura,1869-02-18,15,0,no,32.211
male,SectorPublico,1884-03-26,15,0,no,34.275
female,Agricultura,1851-07-22,3.379,1,no,25.024
female,Agricultura,1871-08-02,0.586,1,no,45.002
female,NoFijo,1856-10-08,15,0,no,25.925
female,Agricultura,1883-06-18,15,0,no,30.316
female,Agricultura,1863-03-28,3.428,1,no,36.077
male,NoFijo,1866-05-10,15,0,no,28.728
male,Agricultura,1862-06-15,0.602,1,no,33.103
male,NoFijo,1865-05-15,15,0,yes,20.192
female,NoFijo,1854-09-16,3.318,1,no,36.26
female,SectorPublico,1850-05-17,15,0,no,32.753
male,Agricultura,1855-09-22,1.843,1,no,42.502
female,Agricultura,1872-05-25,15,0,no,30.335
female,Agricultura,1868-01-17,15,0,no,44.066
female,Agricultura,1860-01-18,0.794,1,no,38.064
male,Agricultura,1856-01-13,15,0,no,30.664
female,Agricultura,1861-02-07,15,0,no,35.302
male,Agricultura,1864-11-27,0.049,1,no,34.735
female,Agricultura,1871-05-31,1.374,1,no,46.261
female,Agricultura,1883-04-19,15,0,no,28.862
female,Agricultura,1858-12-08,15,0,no,36.608
male,Agricultura,1882-03-06,15,0,no,35.094
male,SectorPrivado,1854-11-21,15,0,no,40.507
female,Agricultura,1863-01-27,15,0,no,27.006
female,Agricultura,1854-03-21,15,0,no,29.503
female,NoFijo,1851-08-18,15,0,no,40.583
female,NoFijo,1859-12-22,15,0,no,27.187
male,Agricultura,1880-08-26,15,0,no,34.601
male,Agricultura,1857-01-31,1.769,1,no,31.48
female,NoFijo,1861-03-18,15,0,no,36.567
female,Agricultura,1856-03-01,5.333,1,no,19.869
female,Agricultura,1879-06-12,6.678,1,no,33.632
female,NoFijo,1855-08-05,15,0,no,21.969
female,Agricultura,1871-06-30,15,0,yes,32.966
female,Agricultura,1873-10-23,15,0,no,38.47
female,Agricultura,1874-01-17,15,0,no,25.306
male,Agricultura,1852-11-28,15,0,no,34.552
female,Agricultura,1875-05-09,0.764,1,no,29.539
female,Agricultura,1864-07-09,15,0,no,21.681
female,Agricultura,1869-07-09,15,0,no,23.474
male,Agricultura,1867-12-31,15,0,no,28.761
male,NoFijo,1864-03-19,15,0,no,37.826
male,Agricultura,1875-04-10,0.06,1,no,33.733
male,NoFijo,1864-01-29,0.005,1,no,32.392
male,NoFijo,1878-08-25,15,0,no,21.985
male,Agricultura,1851-04-11,15,0,no,31.441
male,NoFijo,1881-03-29,15,0,no,31.168
female,NoFijo,1864-11-23,15,0,no,37.941
male,NoFijo,1881-10-21,15,0,no,32.764
female,Agricultura,1866-03-15,15,0,no,29.566
female,NoFijo,1880-07-17,15,0,no,28.027
male,Agricultura,1882-08-01,15,0,no,35.165
male,Agricultura,1850-07-26,15,0,no,32.279
female,NoFijo,1852-05-01,15,0,no,28.104
female,NoFijo,1879-05-21,4.764,1,no,33.99
male,Agricultura,1883-10-01,15,0,no,35.094
female,Agricultura,1874-08-06,15,0,no,37.804
male,Agricultura,1879-09-29,15,0,yes,25.18
female,Agricultura,1865-03-05,15,0,no,43.573
female,Agricultura,1874-01-01,15,0,no,23.743
male,Agricultura,1862-03-24,15,0,no,31.239
male,NoFijo,1860-08-11,0.167,1,no,35.143
female,Agricultura,1883-05-31,15,0,no,33.766
male,Agricultura,1856-09-15,15,0,no,29.352
male,Agricultura,1862-02-08,15,0,no,20.674
male,NoFijo,1857-08-08,2.982,1,no,30.549
female,Agricultura,1863-04-24,15,0,no,32.731
female,Agricultura,1877-04-01,15,0,no,28.085
male,Agricultura,1860-10-10,15,0,no,38.634
female,SectorPrivado,1873-06-23,15,0,no,32.454
female,Agricultura,1855-06-18,3.332,1,no,33.32
female,Agricultura,1861-11-17,15,0,yes,23.409
female,Agricultura,1866-08-06,15,0,no,25.914
male,Agricultura,1878-03-05,15,0,no,37.703
female,Agricultura,1856-08-24,15,0,no,35.291
male,Agricultura,1862-08-15,15,0,no,44.334
male,NoFijo,1876-12-04,15,0,no,34.248
female,Agricultura,1850-12-04,15,0,yes,29.457
male,Agricultura,1875-09-10,15,0,no,39.269
female,Agricultura,1883-11-25,15,0,no,26.398
female,Agricultura,1851-09-07,15,0,yes,23.368
male,NoFijo,1867-05-17,0.4,0,no,25.867
male,Agricultura,1864-03-18,14.152,1,no,28.134
male,Agricultura,1884-08-30,15,0,no,33.194
female,NoFijo,1855-10-11,2.426,0,yes,40.025
female,Agricultura,1882-09-05,15,0,no,34.053
female,Agricultura,1884-01-16,15,0,no,28.964
female,Agricultura,1876-12-09,15,0,no,39.294
female,Agricultura,1851-05-27,15,0,no,26.122
female,SectorPublico,1863-04-20,15,0,no,40.022
male,Agricultura,1883-07-16,15,0,no,28.572
male,Agricultura,1854-01-20,15,0,no,35.874
male,Agricultura,1876-09-08,3.502,1,no,31.762
female,Agricultura,1867-12-28,15,0,no,32.192
male,Agricultura,1884-09-17,5.008,1,no,36.296
male,Agricultura,1863-10-15,15,0,no,37.947
female,NoFijo,1883-08-30,1.347,1,no,33.287
male,Agricultura,1851-11-27,15,0,no,25.588
female,Agricultura,1860-11-28,15,0,no,27.488
male,Agricultura,1879-09-08,12.2,1,no,26.754
male,NoFijo,1864-08-12,15,0,no,41.771
male,NoFijo,1851-09-25,13.142,1,no,39.567
female,Agricultura,1867-08-27,0.131,1,yes,27.74
male,NoFijo,1878-04-05,15,0,no,24.715
male,Agricultura,1882-06-24,15,0,no,36.044
female,Agricultura,1875-01-23,15,0,no,25.347
female,Agricultura,1855-11-24,15,0,no,32.958
male,Agricultura,1853-02-24,15,0,no,32.43
male,NoFijo,1861-01-07,15,0,no,24.014
male,Agricultura,1860-05-17,15,0,no,33.988
male,Agricultura,1863-10-15,15,0,no,37.947
male,Agricultura,1862-01-30,15,0,no,35.797
female,NoFijo,1872-05-26,15,0,no,40.364
male,NoFijo,1870-05-10,15,0,no,26.793
male,Agricultura,1869-11-06,15,0,no,36.909
male,Agricultura,1859-03-10,0.063,1,yes,36.375
female,Agricultura,1865-12-11,2.062,1,no,35.132
female,Agricultura,1858-08-20,15,0,no,33.446
male,Agricultura,1868-10-12,15,0,no,29.966
female,Agricultura,1883-05-16,15,0,no,33.848
male,Agricultura,1879-12-06,15,0,no,30.374
female,Agricultura,1859-12-04,3.959,1,no,28.903
male,NoFijo,1876-07-31,15,0,no,21.596
male,Agricultura,1857-08-08,15,0,no,30.478
female,Agricultura,1855-04-09,15,0,no,37.276
female,NoFijo,1854-11-10,15,0,no,32.216
female,Agricultura,1850-10-08,15,0,no,27.869
female,Agricultura,1864-02-13,2.286,1,no,23.567
male,Agricultura,1875-06-29,15,0,no,33.473
female,Agricultura,1852-02-09,15,0,no,35.083
male,Agricultura,1869-11-26,15,0,no,37.744
female,Agricultura,1853-03-03,15,0,no,25.561
female,Agricultura,1852-11-30,15,0,no,36.851
female,Agricultura,1873-10-15,15,0,no,25.81
male,Agricultura,1872-06-18,15,0,no,28.315
female,Agricultura,1853-03-14,0.526,1,no,25.478
male,Agricultura,1882-01-29,4.498,1,no,34.376
female,NoFijo,1883-04-04,15,0,no,35.956
male,Agricultura,1873-05-22,15,0,no,25.692
female,Agricultura,1865-03-17,15,0,no,31.849
female,Agricultura,1880-05-17,15,0,no,24.282
female,Agricultura,1866-12-18,15,0,yes,26.727
male,Agricultura,1855-10-05,3.039,1,no,23.247
male,Agricultura,1869-02-06,15,0,no,41.851
male,NoFijo,1875-11-08,15,0,no,28.304
male,Agricultura,1874-12-13,15,0,no,30.513
male,Agricultura,1882-01-09,6.721,0,no,27.737
female,NoFijo,1875-07-04,14.253,1,yes,29.78
male,Agricultura,1863-05-17,15,0,no,27.173
male,NoFijo,1854-09-18,15,0,no,26.448
male,Agricultura,1868-01-16,15,0,yes,23.893
female,Agricultura,1881-09-18,15,0,no,28.816
female,SectorPublico,1876-10-21,15,0,no,29.977
male,Agricultura,1884-06-13,15,0,no,32.728
female,Agricultura,1884-07-15,10.522,0,no,30.486
male,Agricultura,1884-03-03,1.878,1,no,30.081
male,NoFijo,1870-01-22,15,0,no,39.918
male,SectorPublico,1884-10-08,15,0,no,25.799
male,Agricultura,1859-06-30,15,0,no,33.834
male,Agricultura,1879-10-15,15,0,no,28.189
male,Agricultura,1860-08-13,15,0,no,30.289
female,SectorPublico,1866-03-16,2.628,0,no,27.066
male,Agricultura,1857-02-26,0.632,1,no,31.713
female,Agricultura,1884-01-28,15,0,no,38.092
male,Agricultura,1883-08-09,15,0,no,28.131
female,NoFijo,1882-07-13,15,0,no,36.263
female,NoFijo,1861-11-11,15,0,no,27.797
female,Agricultura,1857-04-15,15,0,yes,32.66
male,Agricultura,1879-07-08,1.191,0,no,32.665
male,Agricultura,1874-10-10,2.604,1,no,35.762
female,Agricultura,1860-12-21,15,0,no,27.696
male,Agricultura,1877-10-16,15,0,no,31.702
female,Agricultura,1862-08-06,14.59,1,no,27.094
male,Agricultura,1874-11-13,15,0,no,37.448
male,Agricultura,1873-06-11,15,0,no,31.201
female,Agricultura,1855-03-05,7.526,1,no,35.447
male,Agricultura,1877-11-01,15,0,no,24.096
male,Agricultura,1852-05-26,15,0,yes,29.057
male,Agricultura,1862-03-31,15,0,no,39.346
male,SectorPublico,1870-02-09,15,0,no,29.218
male,NoFijo,1867-12-19,15,0,no,36.608
female,NoFijo,1880-11-15,15,0,yes,23.86
female,Agricultura,1852-10-30,15,0,no,22.943
female,Agricultura,1880-12-29,15,0,no,23.37
male,NoFijo,1857-08-10,15,0,no,30.713
female,Agricultura,1869-05-13,1.602,1,yes,33.399
male,Agricultura,1870-02-13,0.129,1,no,37.021
male,NoFijo,1877-07-22,15,0,no,21.812
male,Agricultura,1851-12-11,0.687,1,yes,41.399
male,Agricultura,1859-07-15,15,0,no,22.571
